HELP_ID	CODE	UMASK	OTHER	COMMON	WEIGHT	COUNTER	NAME	DESCRIPTION	HELP_FILE	OVERFLOW	SAV_LOWER_LIMIT	PRECISE_EVENT	LATENCY	MSR_INDEX	MSR_VALUE	LBR_VALUE	DEFAULT	UNCORE_QUEUE_RESET	UNCORE	MIN_STEP	EM TRIGGER
0x1000E	0x89	0x30	0x53	0x2	0	0,1,2,3	BR_MISP_EXEC.NEAR_CALLS	Mispredicted call branches executed	pmw_sp.chm	2000	0	0	0	0	0	0	0	0	0	0	0
0x1000E	0x89	0x7	0x53	0x2	0	0,1,2,3	BR_MISP_EXEC.NON_CALLS	Mispredicted non call branches executed	pmw_sp.chm	20000	0	0	0	0	0	0	0	0	0	0	0
0x1000E	0x89	0x8	0x53	0x2	0	0,1,2,3	BR_MISP_EXEC.RETURN_NEAR	Mispredicted return branches executed	pmw_sp.chm	2000	0	0	0	0	0	0	0	0	0	0	0
0x1000E	0x89	0x40	0x53	0x2	0	0,1,2,3	BR_MISP_EXEC.TAKEN	Mispredicted taken branches executed	pmw_sp.chm	20000	0	0	0	0	0	0	0	0	0	0	0
0x1000F	0xC5	0x4	0x53	0x20	0	0,1,2,3	BR_MISP_RETIRED.ALL_BRANCHES	Mispredicted retired branch instructions (Precise Event)	pmw_sp.chm	20000	0	1	0	0	0	0	0	0	0	0	0
0x1000F	0xC5	0x1	0x53	0x20	0	0,1,2,3	BR_MISP_RETIRED.CONDITIONAL	Mispredicted conditional retired branches (Precise Event)	pmw_sp.chm	20000	0	1	0	0	0	0	0	0	0	0	0
0x1000F	0xC5	0x2	0x53	0x20	0	0,1,2,3	BR_MISP_RETIRED.NEAR_CALL	Mispredicted near retired calls (Precise Event)	pmw_sp.chm	2000	0	1	0	0	0	0	0	0	0	0	0
0x10010	0x63	0x2	0x53	0x40	0	0,1	CACHE_LOCK_CYCLES.L1D	Cycles L1D locked	pmw_sp.chm	2000000	0	0	0	0	0	0	0	0	0	0	0
0x10010	0x63	0x1	0x53	0x40	0	0,1	CACHE_LOCK_CYCLES.L1D_L2	Cycles L1D and L2 locked	pmw_sp.chm	2000000	0	0	0	0	0	0	0	0	0	0	0
0x10012	0x0	0x0	0x53	0x400	0	34	CPU_CLK_UNHALTED.REF	Reference cycles when thread is not halted (fixed counter)	pmw_sp.chm	2000000	5	0	0	0	0	0	1	0	0	0	2
0x10013	0x3C	0x1	0x53	0x400	0	0,1,2,3	CPU_CLK_UNHALTED.REF_P	Reference base clock (133 Mhz) cycles when thread is not halted (programmable counter)	pmw_sp.chm	100000	5	0	0	0	0	0	0	0	0	0	0
0x10014	0x0	0x0	0x53	0x400	0	33	CPU_CLK_UNHALTED.THREAD	Cycles when thread is not halted (fixed counter)	pmw_sp.chm	2000000	5	0	0	0	0	0	1	0	0	0	1
0x10015	0x3C	0x0	0x53	0x400	0	0,1,2,3	CPU_CLK_UNHALTED.THREAD_P	Cycles when thread is not halted (programmable counter)	pmw_sp.chm	2000000	5	0	0	0	0	0	0	0	0	0	0
0x10015	0x3C	0x0	0x2D3	0x400	0	0,1,2,3	CPU_CLK_UNHALTED.TOTAL_CYCLES	Total CPU cycles	pmw_sp.chm	2000000	5	0	0	0	0	0	0	0	0	0	0
0x10017	0x8	0x1	0x53	0x100	0	0,1,2,3	DTLB_LOAD_MISSES.ANY	DTLB load misses	pmw_sp.chm	200000	0	0	0	0	0	0	0	0	0	0	0
0x10017	0x8	0x20	0x53	0x100	0	0,1,2,3	DTLB_LOAD_MISSES.PDE_MISS	DTLB load miss caused by low part of address	pmw_sp.chm	200000	0	0	0	0	0	0	0	0	0	0	0
0x10017	0x8	0x10	0x53	0x100	0	0,1,2,3	DTLB_LOAD_MISSES.STLB_HIT	DTLB second level hit	pmw_sp.chm	2000000	0	0	0	0	0	0	0	0	0	0	0
0x10017	0x8	0x2	0x53	0x100	0	0,1,2,3	DTLB_LOAD_MISSES.WALK_COMPLETED	DTLB load miss page walks complete	pmw_sp.chm	200000	0	0	0	0	0	0	0	0	0	0	0
